second,Volt
+62.7410000E-06,-1.5625000212E-03
+62.7412000E-06,+0.0E+00
+62.7414000E-06,-1.2E-12
+62.7416000E-06,-927.7343897E-06
+62.7418000E-06,-1.5625000264E-03
+62.7420000E-06,-3.9062500582E-03
+62.7422000E-06,-3.9062500541E-03
+62.7424000E-06,-781.2500116E-06
+62.7426000E-06,-781.2500116E-06
+62.7428000E-06,-781.2500127E-06
+62.7430000E-06,-1.5625000212E-03
+62.7432000E-06,+12.5E-12
+62.7434000E-06,+9.3750001754E-03
+62.7436000E-06,+36.0351568131E-03
+62.7438000E-06,+55.4687508549E-03
+62.7440000E-06,+76.5625010703E-03
+62.7442000E-06,+24.2187502934E-03
+62.7444000E-06,-25.7812503964E-03
+62.7446000E-06,-34.8632817784E-03
+62.7448000E-06,-41.4062506234E-03
+62.7450000E-06,-46.0937506624E-03
+62.7452000E-06,-28.1250003830E-03
+62.7454000E-06,-1.5625000153E-03
+62.7456000E-06,+4.2968750699E-03
+62.7458000E-06,+8.5937501323E-03
+62.7460000E-06,+11.7187501650E-03
+62.7462000E-06,+4.6875000602E-03
+62.7464000E-06,-2.3437500381E-03
+62.7466000E-06,-4.6386719463E-03
+62.7468000E-06,-6.2500000964E-03
+62.7470000E-06,-8.5937501237E-03
+62.7472000E-06,-5.4687500772E-03
+62.7474000E-06,-2.3437500343E-03
+62.7476000E-06,-1.9042969029E-03
+62.7478000E-06,-1.5625000244E-03
+62.7480000E-06,-2.3437500317E-03
+62.7482000E-06,-1.1E-12
+62.7484000E-06,-781.2500123E-06
+62.7486000E-06,-1.2695312693E-03
+62.7488000E-06,-1.5625000233E-03
+62.7490000E-06,-1.5625000222E-03
+62.7492000E-06,-781.2500127E-06
+62.7494000E-06,-1.5625000227E-03
+62.7496000E-06,-1.1230468913E-03
+62.7498000E-06,-781.2500127E-06
+62.7500000E-06,-1.5625000222E-03
+62.7502000E-06,-781.2500116E-06
+62.7504000E-06,-781.2500116E-06
+62.7506000E-06,-781.2500116E-06
